unchanged_age,size_scale,recent_access,history_depth,observed_activity,duplicate,disposable,tracked,unique,archive_worthy,temporary,label
0.02,0.10,1,0.00,0.00,0,0,0,1,0,0,keep
0.08,0.75,1,0.50,1.00,0,0,0,1,1,0,keep
0.15,0.35,1,1.00,0.75,0,0,0,1,1,0,keep
0.05,0.20,1,0.75,1.00,0,0,1,0,0,0,keep
0.20,0.55,1,1.00,0.75,0,0,1,0,1,0,keep
0.25,0.15,0,0.50,0.75,0,0,0,1,0,0,keep
0.35,0.08,0,1.00,0.50,0,0,0,1,0,0,keep
0.12,0.90,1,0.00,0.00,0,0,0,1,1,0,keep
0.30,0.30,1,0.75,1.00,0,0,0,1,0,0,keep
0.18,0.45,1,0.50,0.75,0,0,1,0,0,0,keep
0.90,0.55,1,0.00,0.00,0,0,0,1,1,0,keep
0.85,0.35,1,0.75,0.75,0,0,0,1,0,0,keep
0.80,0.50,1,0.50,1.00,0,0,1,0,0,1,keep
0.75,0.60,1,1.00,0.75,0,1,0,0,0,1,keep
0.05,0.20,0,0.00,0.00,1,0,0,0,0,0,cleanup_review
0.30,0.65,0,0.75,0.00,1,0,0,0,1,0,cleanup_review
0.90,0.80,0,1.00,0.00,1,0,0,0,1,0,cleanup_review
0.03,0.10,0,0.00,0.00,0,1,0,0,0,1,cleanup_review
0.25,0.45,0,0.50,0.00,0,1,0,0,0,1,cleanup_review
0.85,0.70,0,1.00,0.00,0,1,0,0,0,1,cleanup_review
0.55,0.35,0,0.75,0.00,0,0,1,0,0,0,cleanup_review
0.95,0.60,0,1.00,0.00,0,0,1,0,1,0,cleanup_review
0.70,0.15,0,1.00,0.00,0,0,1,0,0,0,cleanup_review
0.45,0.50,0,0.50,0.00,1,0,0,0,0,0,cleanup_review
0.10,0.20,1,0.00,0.00,1,0,0,0,0,0,cleanup_review
0.65,0.55,1,0.75,0.00,1,0,0,0,1,0,cleanup_review
0.10,0.20,1,0.00,0.00,0,1,0,0,0,1,cleanup_review
0.65,0.55,1,0.75,0.00,0,1,0,0,0,1,cleanup_review
0.65,0.55,0,0.50,0.00,0,0,0,1,1,0,archive_review
0.90,0.85,0,1.00,0.00,0,0,0,1,1,0,archive_review
1.00,0.95,0,1.00,0.00,0,0,0,1,1,0,archive_review
0.75,0.35,0,0.75,0.00,0,0,0,1,1,0,archive_review
0.95,0.60,0,1.00,0.00,0,0,0,1,0,0,archive_review
0.80,0.75,0,0.75,0.00,0,0,0,1,0,0,archive_review
0.55,0.80,0,0.00,0.00,0,0,0,1,1,0,archive_review
0.70,0.45,0,0.50,0.00,0,0,0,1,1,0,archive_review
0.85,0.20,0,1.00,0.00,0,0,0,1,1,0,archive_review
0.60,0.90,0,0.00,0.00,0,0,0,1,0,0,archive_review
